Energy,Aeff(m^2 str)
552077.4392807585,7.778583410288328
616595.0018614822,14.099467829310992
690239.8038402412,24.554688180457823
810961.0578538404,41.99681059318836
970509.9672454898,70.05751617505238
1221799.6601648736,120.4109632267896
1599558.028614668,205.04546931449863
2213094.7096056365,353.9695274652692
3162277.6601683795,580.2898622298779
4508167.0454146005,892.7903666677619
5546257.1295791045,1347.001832523774
5821032.17770871,5551.98590024187
5888436.5535558835,3301.022197574168
6637430.704019089,1682.2851668854912
10495424.286523221,2021.2127487253722
16557699.63469526,3013.239744134728
26061535.499988977,4400.629891813052
41020410.29866064,6396.697332939093
64714261.57485831,9236.697091784266
101859138.80541149,13132.762070689567
160694125.30128756,18577.003909283925
252929799.6446137,26895.828158654167
399024902.36214286,38018.574116835756
628058358.813318,52226.81645018463
990831944.8927686,69905.26202868881
1563147642.6409507,92258.29694476968
2466039337.2343464,119938.9200810318
3890451449.942805,153912.58055903515
6123503917.247746,194826.19513800702
9660508789.89812,244106.8511303964
15275660582.380701,299330.7972375881
24099054286.865932,363263.9041981733
38018939632.05613,431511.0336242975
59979107625.55076,505476.26380381465
83368118461.96332,556027.2919007214